station1_id,station1_name,station2_id,station2_name,demand
500,Acton Town,501,Barbican,27
500,Acton Town,502,Aldgate,6
500,Acton Town,503,Aldgate East,82
500,Acton Town,505,Alperton,353
500,Acton Town,506,Amersham,4
500,Acton Town,507,Angel,64
500,Acton Town,508,Archway,16
500,Acton Town,509,Arnos Grove,17
500,Acton Town,510,Arsenal,17
500,Acton Town,511,Baker Street,89
500,Acton Town,512,Balham LU,32
500,Acton Town,513,Bank and Monument,200
500,Acton Town,514,Barking,35
500,Acton Town,515,Barkingside,1
500,Acton Town,516,Barons Court,213
500,Acton Town,517,Bayswater,42
500,Acton Town,518,Becontree,6
500,Acton Town,519,Belsize Park,8
500,Acton Town,520,Bethnal Green LU,40
500,Acton Town,521,Blackfriars LU,133
500,Acton Town,522,Blackhorse Road,30
500,Acton Town,524,Bond Street,150
500,Acton Town,525,Borough,6
500,Acton Town,526,Boston Manor,135
500,Acton Town,527,Bounds Green,29
500,Acton Town,528,Bow Road,10
500,Acton Town,529,Brent Cross,2
500,Acton Town,530,Bromley-by-Bow,6
500,Acton Town,531,Buckhurst Hill,0
500,Acton Town,532,Burnt Oak,3
500,Acton Town,534,Caledonian Road,31
500,Acton Town,535,Camden Town,102
500,Acton Town,536,Cannon Street LU,73
500,Acton Town,537,Canons Park,5
500,Acton Town,539,Chalfont & Latimer,2
500,Acton Town,540,Chalk Farm,13
500,Acton Town,541,Chancery Lane,45
500,Acton Town,542,Embankment,146
500,Acton Town,543,Chesham,3
500,Acton Town,544,Chigwell,0
500,Acton Town,545,Chiswick Park,163
500,Acton Town,546,Chorleywood,1
500,Acton Town,547,Clapham Common,28
500,Acton Town,548,Clapham North,15
500,Acton Town,549,Clapham South,19
500,Acton Town,550,Cockfosters,12
500,Acton Town,551,Colindale,9
500,Acton Town,552,Colliers Wood,8
500,Acton Town,553,Covent Garden,365
500,Acton Town,554,Croxley,3
500,Acton Town,555,Dagenham East,5
500,Acton Town,556,Dagenham Heathway,8
500,Acton Town,557,Debden,1
500,Acton Town,558,Dollis Hill,3
500,Acton Town,560,Ealing Broadway,1099
500,Acton Town,561,Ealing Common,143
500,Acton Town,562,Earl's Court,560
500,Acton Town,563,East Acton,8
500,Acton Town,564,Eastcote,56
500,Acton Town,565,East Finchley,9
500,Acton Town,566,East Ham,43
500,Acton Town,567,East Putney,60
500,Acton Town,568,Edgware,6
500,Acton Town,569,Edgware Road (DIS),58
500,Acton Town,570,Elephant & Castle LU,101
500,Acton Town,571,Elm Park,4
500,Acton Town,572,Epping,7
500,Acton Town,574,Euston LU,145
500,Acton Town,575,Euston Square,10
500,Acton Town,576,Fairlop,3
500,Acton Town,577,Farringdon,34
500,Acton Town,578,Finchley Central,16
500,Acton Town,579,Finchley Road,8
500,Acton Town,580,Finsbury Park LU,99
500,Acton Town,581,Fulham Broadway,154
500,Acton Town,582,Gants Hill,13
500,Acton Town,583,Gloucester Road,242
500,Acton Town,584,Golders Green,12
500,Acton Town,585,Goldhawk Road,10
500,Acton Town,586,Goodge Street,43
500,Acton Town,587,Grange Hill,0
500,Acton Town,588,Great Portland Street,18
500,Acton Town,589,Greenford,13
500,Acton Town,590,Green Park,407
500,Acton Town,591,Gunnersbury,10
500,Acton Town,592,Hainault,3
500,Acton Town,593,Hammersmith (DIS),1942
500,Acton Town,594,Hampstead,9
500,Acton Town,595,Hanger Lane,2
500,Acton Town,596,Harlesden,0
500,Acton Town,597,Harrow & Wealdstone,0
500,Acton Town,598,Harrow-on-the-Hill,55
500,Acton Town,599,Wood Lane,87
500,Acton Town,601,Hendon Central,9
500,Acton Town,602,High Barnet,4
500,Acton Town,603,Highbury & Islington,60
500,Acton Town,604,Highgate,7
500,Acton Town,605,High Street Kensington,128
500,Acton Town,606,Hillingdon,31
500,Acton Town,607,Holborn,277
500,Acton Town,608,Holland Park,10
500,Acton Town,609,Holloway Road,41
500,Acton Town,610,Hornchurch,3
500,Acton Town,611,Hounslow Central,310
500,Acton Town,612,Hounslow East,443
500,Acton Town,613,Hounslow West,256
500,Acton Town,614,Hyde Park Corner,189
500,Acton Town,615,Ickenham,17
500,Acton Town,616,Kennington,17
500,Acton Town,617,Kensal Green,0
500,Acton Town,619,Kentish Town,14
500,Acton Town,621,Kew Gardens,30
500,Acton Town,622,Kilburn,8
500,Acton Town,623,Kilburn Park,6
500,Acton Town,624,Kingsbury,4
500,Acton Town,625,King's Cross St. Pancras,545
500,Acton Town,626,Knightsbridge,388
500,Acton Town,627,Ladbroke Grove,55
500,Acton Town,628,Lambeth North,22
500,Acton Town,629,Lancaster Gate,6
500,Acton Town,630,Latimer Road,29
500,Acton Town,631,Leicester Square,592
500,Acton Town,632,Leyton,22
500,Acton Town,633,Leytonstone,17
500,Acton Town,634,Liverpool Street LU,275
500,Acton Town,635,London Bridge LU,299
500,Acton Town,636,Loughton,4
500,Acton Town,637,Maida Vale,4
500,Acton Town,638,Manor House,45
500,Acton Town,639,Mansion House,73
500,Acton Town,640,Marble Arch,20
500,Acton Town,641,Marylebone LU,26
500,Acton Town,642,Mile End,35
500,Acton Town,643,Mill Hill East,3
500,Acton Town,645,Moorgate,31
500,Acton Town,646,Moor Park,1
500,Acton Town,647,Morden,9
500,Acton Town,648,Mornington Crescent,18
500,Acton Town,649,Neasden,3
500,Acton Town,650,Newbury Park,8
500,Acton Town,653,North Acton,29
500,Acton Town,654,North Ealing,79
500,Acton Town,655,Northfields,155
500,Acton Town,656,North Harrow,1
500,Acton Town,657,Northolt,12
500,Acton Town,659,North Wembley,0
500,Acton Town,660,Northwick Park,15
500,Acton Town,661,Northwood,5
500,Acton Town,662,Northwood Hills,2
500,Acton Town,663,Notting Hill Gate,67
500,Acton Town,664,Oakwood,11
500,Acton Town,665,Old Street,108
500,Acton Town,667,Osterley,127
500,Acton Town,668,Oval,20
500,Acton Town,669,Oxford Circus,238
500,Acton Town,670,Paddington TfL,90
500,Acton Town,671,Park Royal,222
500,Acton Town,672,Parsons Green,97
500,Acton Town,673,Perivale,9
500,Acton Town,674,Piccadilly Circus,790
500,Acton Town,675,Pinner,2
500,Acton Town,676,Plaistow,12
500,Acton Town,677,Preston Road,5
500,Acton Town,678,Putney Bridge,68
500,Acton Town,679,Queensbury,3
500,Acton Town,680,Queen's Park,3
500,Acton Town,681,Queensway,8
