line_id,station1,station2,line,time
0,500,593,10,6
1,500,704,10,3.075000048
2,500,561,10,2.015625
3,500,561,4,2
4,500,545,4,2
5,502,634,8,2
6,502,634,3,2
7,502,731,3,2.023809433
8,503,763,6,2.5
9,503,634,6,2.5
10,503,731,4,3.026315689
11,503,763,4,2.718181849
12,505,671,10,2.5
13,505,721,10,2.5
14,506,539,8,4
15,507,665,9,3
16,507,625,9,2.5
17,508,733,9,1.5
18,508,604,9,3
19,509,706,10,2.522222281
20,509,527,10,2
21,510,580,10,1.5
22,510,609,10,1.5
23,511,685,1,2
24,511,641,1,1.5
25,511,524,7,2.5
26,511,696,7,3.5
27,511,588,6,2
28,511,569,6,3.604651213
29,511,569,3,3.604651213
30,511,588,3,2
31,511,579,8,5.55084753
32,511,588,8,2
33,512,726,9,2
34,512,549,9,2
35,513,634,2,2.25
36,513,697,2,2
37,513,747,12,3.75
38,513,635,9,2.254385948
39,513,645,9,2.5
40,501,577,8,1.951219559
41,501,645,8,1.5
42,501,645,6,1.534883738
43,501,577,6,1.918604612
44,501,577,3,1.918604612
45,501,645,3,1.534883738
46,514,566,6,3.5
47,514,566,4,3
48,514,738,4,2.053191423
49,515,576,2,1.840909123
50,515,650,2,2.25
51,516,562,10,3
52,516,593,10,2
53,516,593,4,1.5
54,516,760,4,1.5
55,517,663,3,2
56,517,670,3,2.452380896
57,517,663,4,2
58,517,670,4,2.452380896
59,518,738,4,2.5
60,518,556,4,2.5
61,519,540,9,2
62,519,594,9,2.5
63,787,788,7,2
64,787,635,7,2.5
65,520,642,2,2.25
66,520,634,2,3.475308657
67,521,639,3,1.954545498
68,521,724,3,1.5
69,521,724,4,1.5
70,521,639,4,1.983870983
71,522,729,11,2.361702204
72,522,742,11,2.043478251
73,524,669,2,1.5
74,524,640,2,1.660493851
75,524,590,7,2.5
76,524,511,7,2.5
77,525,570,9,2
78,525,635,9,1.5
79,526,655,10,4.458333492
80,526,667,10,3
81,527,509,10,3.6171875
82,527,770,10,2.5
83,528,530,6,2
84,528,642,6,1.5
85,528,642,4,1.5
86,528,530,4,2
87,529,584,9,3.034482718
88,529,601,9,2
89,778,716,11,2.450000048
90,530,757,6,2
91,530,528,6,2.5
92,530,528,4,2.5
93,530,757,4,2
94,531,636,2,2.701612949
95,531,769,2,2.529411793
96,532,551,9,2.5
97,532,568,9,3.935185194
98,534,609,10,1.5
99,534,625,10,4
100,535,648,9,1.5
101,535,574,9,3.5
102,535,619,9,2
103,535,540,9,1.5
104,788,852,7,3
105,788,787,7,2
106,852,789,7,3.192307711
107,852,788,7,3
108,884,757,7,2.927966118
109,884,789,7,3.072727203
110,536,513,3,1.5
111,536,639,3,1.5
112,536,639,4,1.5
113,536,513,4,1.5
114,537,679,7,2.5
115,537,714,7,3.241935492
116,539,543,8,8.642857552
117,539,506,8,4
118,539,546,8,4
119,540,535,9,2.620689631
120,540,519,9,2
121,541,697,2,2
122,541,607,2,1.45679009
123,718,542,1,1.5
124,718,674,1,2
125,718,542,9,1
126,718,631,9,1.5
127,543,539,8,9
128,544,688,2,2.767857075
129,544,587,2,2.611111164
130,545,500,4,2.630434752
131,545,734,4,2.071428537
132,546,539,8,4.681818008
133,546,687,8,4.5
134,547,549,9,2.5
135,547,548,9,1.761904716
136,548,547,9,1.5
137,548,716,9,2.494047642
138,549,512,9,2
139,549,547,9,2.5
140,550,664,10,2.59803915
141,551,601,9,3
142,551,532,9,2
143,552,711,9,2
144,552,727,9,2
145,553,607,10,1.5
146,553,631,10,1
147,554,748,8,3.599999905
148,554,646,8,4
149,555,556,4,2
150,555,571,4,3
151,556,518,4,2.5
152,556,555,4,2.217391253
153,557,725,2,3
154,557,636,2,2.973214388
155,558,765,7,2.107142925
156,558,649,7,1.622222185
157,560,753,2,2.25
158,560,561,4,3
159,561,500,10,3.04285717
160,561,654,10,2
161,561,560,4,3.5
162,561,500,4,3.261904716
163,562,583,10,1.5
164,562,516,10,3
165,562,618,4,3
166,562,755,4,1.5
167,562,760,4,2
168,562,605,4,3.580645084
169,562,583,4,2.532258034
170,563,764,2,3.276119471
171,563,653,2,2.123239517
172,565,604,9,3
173,565,578,9,4.276785851
174,566,514,6,3.599999905
175,566,739,6,2
176,566,739,4,2.5
177,566,514,4,3.900000095
178,567,705,4,2.5
179,567,678,4,2
180,564,683,10,3.354166746
181,564,693,10,2
182,564,693,8,2.021739244
183,564,683,8,3
184,568,532,9,2.5
185,569,641,1,1.5
186,569,670,1,2
187,569,511,6,2.840909004
188,569,670,6,2
189,569,670,3,2
190,569,670,3,2
191,569,511,3,2.840909004
192,569,670,4,2
193,570,628,1,2
194,570,616,9,3
195,570,525,9,2
196,571,555,4,3.071428537
197,571,610,4,2.5
198,542,747,1,1.5
199,542,718,1,1
200,542,747,9,1.5
201,542,718,9,1.258620739
202,542,724,3,2
203,542,761,3,1.5
204,542,761,4,1.5
205,542,724,4,2
206,572,725,2,2.5
207,574,745,11,1.5
208,574,625,11,2
209,574,625,9,1.5
210,574,535,9,4.420353889
211,574,745,9,1.5
212,574,648,9,1.508771896
213,575,588,8,1.5
214,575,625,8,2
215,575,625,6,2
216,575,588,6,1.5
217,575,588,3,1.5
218,575,625,3,2
219,576,592,2,3.890625
220,576,515,2,1.75
221,577,625,8,3.5
222,577,501,8,1.5
223,577,501,6,1.5
224,577,625,6,3.5
225,577,625,3,3.5
226,577,501,3,1.5
227,578,565,9,3.5
